Opportunity Name,SFDC URL,Account Name,Stage (Raw),Stage Bucket,ACV / Amount ($),Close Date,Created Date,Last Activity Date,Owner,Employees,Employee Bucket,EHR (Raw),EHR (Normalized),Providers (Opp Field),# Related Opps (Account),Opportunity ID,Account ID
ARCHealth - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000M8eOdIAJ/view,Arc Health Partners,4. Proposal/Price Quote,Early / Mid Pipeline,2000000.0,2026-07-31,2025-03-11,2026-03-10,Jason Absten,,Unknown,advancedmd,AdvancedMD,,3,006Vo00000M8eOdIAJ,001Vo000004iZUPIA2
Advantage Dermatology,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V00002COj9WQAT/view,Advantage Dermatology,Active Evaluation,Early / Mid Pipeline,120000.0,2023-11-27,2023-10-24,2024-03-29,Amanda Rousso,,Unknown,ModMed,Modernizing Medicine,,1,0067V00002COj9WQAT,0017V00001cfmqtQAA
Allied Customer Solutions,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000vF0aAIAS/view,Allied Customer Solutions,IQM Set,Early / Mid Pipeline,,2026-01-30,2025-10-25,,Kyle Morris,,Unknown,N/A,Unknown,,1,006Vo00000vF0aAIAS,001Vo000010YIIEIA4
Ankle and Foot Centers of America,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ozA5qIAE/view,Ankle and Foot Centers of America,FHA,Early / Mid Pipeline,314585.15,2026-05-12,2025-09-25,2026-04-01,Ramneek Kakar,9,0-300,Epic Systems Corporation,Epic,,1,006Vo00000ozA5qIAE,001Vo000002dcPVIAY
Arc Health Partners - Call agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000014HPyTIAW/view,Arc Health Partners,3. Scoping,Early / Mid Pipeline,,2026-07-31,2025-12-12,2026-03-19,Jason Absten,,Unknown,,Unknown,,3,006Vo000014HPyTIAW,001Vo000004iZUPIA2
Atlanta Heart Associates,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001ENzrsIAD/view,Atlanta Heart Associates PC,IQM Set,Early / Mid Pipeline,,2026-04-30,2026-02-09,2026-02-13,Ernest Chan,135,0-300,GEMMS,Other,25.0,2,006Vo00001ENzrsIAD,0015e00000G2uHKAAZ
Atlantic Health System Enterprise,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001N8YDNIA3/view,Atlantic Health System,1. Qualifying,Early / Mid Pipeline,,2026-07-31,2026-03-30,,Jean-Luc Neptune,5000,"1,001-5,000",,Unknown,,3,006Vo00001N8YDNIA3,0015e00000CA0hdAAD
Brooks Rehab - meditech ambient + intake + call center + RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000VZbuBIAT/view,Brooks Rehabilitation Hospital - University Campus,3. Scoping,Early / Mid Pipeline,150000.0,2026-12-31,2025-05-28,2026-02-27,Daniel Carter,5000,"1,001-5,000",MEDITECH,MEDITECH,,4,006Vo00000VZbuBIAT,001Vo000008xAqcIAE
Calvary Pediatrics - Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000019ZW2XIAW/view,Calvary Pediatrics,Pilot,Early / Mid Pipeline,10400.0,2026-04-30,2026-01-14,2026-01-20,Ryan Laliberte,17,0-300,eClinicalWorks,eClinicalWorks,4.0,3,006Vo000019ZW2XIAW,0017V00001tScwjQAC
Catholic Health Buffalo - Platform - New Business,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000bAz06IAC/view,Catholic Health System,2. Needs Analysis,Early / Mid Pipeline,250000.0,2026-12-31,2025-07-02,2026-02-27,Jean-Luc Neptune,5000,"1,001-5,000",Epic,Epic,,1,006Vo00000bAz06IAC,001Vo00000OuO1cIAF
Childrens Orthopaedic and Scoliosis Surgery Associates LLP,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000LOG1KIAX/view,Childrens Orthopaedic and Scoliosis Surgery Associates LLP,FHA,Early / Mid Pipeline,379538.95,2026-05-29,2025-03-03,2026-03-25,Janann Turner,39,0-300,Greenway Health;,Other,,2,006Vo00000LOG1KIAX,0017V00001XTkkcQAD
Commure Agent - Advanced Wound Care,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000KyRLGIA3/view,Advanced Wound Care,IQM Set,Early / Mid Pipeline,,2025-07-31,2025-02-26,2025-03-05,Nassim Arsalane,14,0-300,,Unknown,18.0,3,006Vo00000KyRLGIA3,001Vo000007ABarIAG
"Commure Agent - Arvind Pai, MD PA",https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000JcnfxIAB/view,"Arvind Pai, MD PA",IQM Set,Early / Mid Pipeline,,2025-03-31,2025-02-12,,Nassim Arsalane,,Unknown,,Unknown,1.0,4,006Vo00000JcnfxIAB,0015e00000QJhU9AAL
Commure Agent - Back In the Game Physical Therapy,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Le6x7IAB/view,Back In the Game Physical Therapy,IQM Set,Early / Mid Pipeline,,2025-04-30,2025-03-05,2026-03-27,Nassim Arsalane,,Unknown,WebPT,Other,10.0,2,006Vo00000Le6x7IAB,0017V00001dA4gyQAC
Commure Agent - Cascade Foot & Ankle Clinic,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000P0cgQIAR/view,Cascade Foot  Ankle Clinic,Active Evaluation,Early / Mid Pipeline,,2025-05-31,2025-04-07,,Nassim Arsalane,6,0-300,,Unknown,2.0,2,006Vo00000P0cgQIAR,0017V00001cfzFxQAI
Commure Agent - Complex Care Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000M0qoNIAR/view,Complex Care Center (ccc),Active Evaluation,Early / Mid Pipeline,,2025-04-30,2025-03-10,2025-03-14,Nassim Arsalane,,Unknown,,Unknown,2.0,2,006Vo00000M0qoNIAR,001Vo00000OdQAVIA3
Commure Agent - GLA Ortho,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000P1KW9IAN/view,GLA Ortho,IQM Set,Early / Mid Pipeline,,2025-05-31,2025-04-07,2025-09-26,Nassim Arsalane,7015,"5,000+",,Unknown,3.0,2,006Vo00000P1KW9IAN,0017V00001WfHAQQA3
Commure Agent - Love Clinic & Med Spa,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000LfLZ4IAN/view,Love Clinic & Med Spa,Active Evaluation,Early / Mid Pipeline,,2025-04-30,2025-03-05,2025-03-10,Nassim Arsalane,,Unknown,,Unknown,5.0,2,006Vo00000LfLZ4IAN,001Vo00000C4qlxIAB
Commure Agent - Mind Body Connection Inc,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000LQjewIAD/view,Mind Body Connection Inc,IQM Set,Early / Mid Pipeline,,2025-03-31,2025-03-03,,Nassim Arsalane,,Unknown,,Unknown,1.0,3,006Vo00000LQjewIAD,001Vo00000Oe6XUIAZ
Commure Agent - South Valley ENT,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000JRhu4IAD/view,South Valley ENT,Active Evaluation,Early / Mid Pipeline,,2025-07-31,2025-02-11,2026-03-26,Nassim Arsalane,18,0-300,AdvancedMD,AdvancedMD,10.0,2,006Vo00000JRhu4IAD,0017V00001jBfy9QAC
Commure Agent - Swing Therapeutics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000PTTwNIAX/view,"Swing Therapeutics, Inc.",Active Evaluation,Early / Mid Pipeline,,2025-05-31,2025-04-10,,Nassim Arsalane,,Unknown,,Unknown,8.0,1,006Vo00000PTTwNIAX,001Vo00000CMRAlIAP
Commure Agent - TurnKeyMD,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000LXuAkIAL/view,TurnKeyMD,IQM Set,Early / Mid Pipeline,,2025-04-30,2025-03-04,,Nassim Arsalane,6,0-300,,Unknown,100.0,2,006Vo00000LXuAkIAL,001Vo000005T223IAC
Commure Agent - iKidney Care Clinic,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Ls8PbIAJ/view,iKidney Care Clinic,IQM Set,Early / Mid Pipeline,,2025-04-30,2025-03-07,,Nassim Arsalane,,Unknown,eClincalWorks,Other,5.0,5,006Vo00000Ls8PbIAJ,0015e00000L56MOAAZ
Commure Agent/Scribe - Idaho Urology,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Kjcx3IAB/view,Idaho Urologic Institute,IQM Set,Early / Mid Pipeline,,2025-03-31,2025-02-24,,Luke Bellber,,Unknown,iSALUS Healthcare,Other,11.0,7,006Vo00000Kjcx3IAB,001Vo00000RKVzPIAX
Cornell Scott - Hill_PX_Call Center Agents,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ZSIqnIAH/view,Cornell Scott-Hill Health Center,4. Proposal/Price Quote,Early / Mid Pipeline,100000.0,2026-07-31,2025-06-21,2026-02-23,Micah Ciancia,,Unknown,Epic,Epic,,5,006Vo00000ZSIqnIAH,001Vo000008wzRdIAI
Doctors of Physical Therapy,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Jc4m1IAB/view,Doctors of Physical Therapy,Active Evaluation,Early / Mid Pipeline,72000.0,2025-10-31,2025-02-12,2026-03-12,Lisa Glidden,,Unknown,Clinicient,Other,,4,006Vo00000Jc4m1IAB,0017V00001WgI98QAF
FPA Lex RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001FezYIIAZ/view,Family Practice Associates of Lexington PSC,Active Evaluation,Early / Mid Pipeline,600000.0,2026-05-30,2026-02-16,,Jon Smorol,,Unknown,Veradigm Inc,Other,20.0,1,006Vo00001FezYIIAZ,0017V00001Y7sXHQAZ
Families First Pediatrics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001BGp4aIAD/view,Families First Pediatrics,FHA,Early / Mid Pipeline,719802.0,2026-04-24,2026-01-23,2026-03-13,Melissa Erlandson,331,"301-1,000",AdvancedMD,AdvancedMD,60.0,4,006Vo00001BGp4aIAD,0017V00001WfyK9QAJ
Family Practice Associates,https://athelas.lightning.force.com/lightning/r/Opportunity/0067V00002AKv2HQAT/view,Family Practice Associates,IQM Set,Early / Mid Pipeline,72000.0,2023-08-15,2023-07-11,2026-03-25,Indiana Brown,200,0-300,UpDox,Other,,2,0067V00002AKv2HQAT,0015e00000d7JvJAAU
Ferncreek Cardiology PA,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001Ef3kXIAR/view,Ferncreek Cardiology PA,Active Evaluation,Early / Mid Pipeline,72000.0,2026-04-30,2026-02-10,,Matthew Cordner,62,0-300,eClinicalWorks,eClinicalWorks,3.0,1,006Vo00001Ef3kXIAR,0015e00000d7HBzAAM
"Forrest Health- (Ambient, PX, Call Agents, FDE)",https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000010YfUvIAK/view,Forrest Health,2. Needs Analysis,Early / Mid Pipeline,,2027-02-28,2025-11-21,2026-01-09,Daniel Carter,5000,"1,001-5,000",Epic,Epic,,3,006Vo000010YfUvIAK,001Vo000008x19sIAA
Frederick Foot and Ankle,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000prc53IAA/view,Frederick Foot and Ankle,FHA,Early / Mid Pipeline,391931.16,2026-04-28,2025-09-30,2026-03-31,Noah Reyhl,,Unknown,NextGen Healthcare,Other,8.0,4,006Vo00000prc53IAA,0017V00001dA6AjQAK
Frederick Foot and Ankle - Cosell,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001DmOwGIAV/view,Frederick Foot and Ankle,Pilot,Early / Mid Pipeline,24000.0,2026-04-30,2026-02-05,,Riley Williams,,Unknown,NextGen Healthcare,Other,8.0,4,006Vo00001DmOwGIAV,0017V00001dA6AjQAK
Frederick Health - Referral Intake,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000y7nJCIAY/view,Frederick Health Physicians (FKA Frederick Health Medical Group),2. Needs Analysis,Early / Mid Pipeline,,2026-06-26,2025-11-08,2025-11-10,Joe Carzo,3281,"1,001-5,000",MEDITECH;,MEDITECH,,1,006Vo00000y7nJCIAY,0017V00001Y7sptQAB
GEDC | Ares | Agent - call center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qHGfDIAW/view,Great Expressions Dental Centers,2. Needs Analysis,Early / Mid Pipeline,,2027-01-31,2025-10-03,2026-02-12,Daniel Carter,,Unknown,Other,Other,,2,006Vo00000qHGfDIAW,001Vo00000OePlMIAV
Gerald Family Care PC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000erpi6IAA/view,Gerald Family Care PC,Active Evaluation,Early / Mid Pipeline,100000.0,2025-12-31,2025-07-24,,Bridget Yeager,13,0-300,eClinicalWorks; V11 EHR,eClinicalWorks,,1,006Vo00000erpi6IAA,0015e00000d7K12AAE
Griffin Hospital - Enterprise - New Business,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001FQ9OHIA1/view,Griffin Hospital,3. Scoping,Early / Mid Pipeline,,2026-07-31,2026-02-14,,Amy Sullivan,1000,"301-1,000",MEDITECH,MEDITECH,,1,006Vo00001FQ9OHIA1,001Vo000008wtZ4IAI
IMH - Call Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001LDlqvIAD/view,Intermountain Healthcare,1. Qualifying,Early / Mid Pipeline,750000.0,2026-12-31,2026-03-19,,Mick Majewski,100000,"5,000+",Epic,Epic,,10,006Vo00001LDlqvIAD,001Vo000008ww72IAA
Iowa PCA - Partnership,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000k8NONIA2/view,Iowa Primary Care Association,Active Evaluation,Early / Mid Pipeline,,2026-07-31,2025-08-26,2025-11-13,Ramesh Munnangi,30,0-300,OCHIN Epic; athenahealth,Athena,,1,006Vo00000k8NONIA2,0017V000025oWBEQA2
Kids First Pediatrics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001FswFZIAZ/view,Kids First Pediatrics of Georgia,Active Evaluation,Early / Mid Pipeline,72000.0,2026-06-27,2026-02-17,,Marisa Wetzel,34,0-300,eClinicalWorks,eClinicalWorks,,2,006Vo00001FswFZIAZ,0017V00001tSdvCQAS
Lima Memorial Health System - Ambient,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001MRnCMIA1/view,Lima Memorial Health System,1. Qualifying,Early / Mid Pipeline,,2026-07-31,2026-03-26,2026-03-26,Jason Absten,1000,"301-1,000",MEDITECH,MEDITECH,,3,006Vo00001MRnCMIA1,001Vo000008x4XOIAY
Magic Valley Orthopedics - RCM,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001ApWitIAF/view,Magic Valley Orthopedics,Active Evaluation,Early / Mid Pipeline,330000.0,2026-07-31,2026-01-21,,Ramesh Munnangi,,Unknown,eCW,eClinicalWorks,13.0,3,006Vo00001ApWitIAF,001Vo00000CEvihIAD
Martin Orthopedics,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000008AoVCIA0/view,Martin Orthopedics,Active Evaluation,Early / Mid Pipeline,192500.0,2024-10-31,2024-08-05,2026-03-25,Ariana Caldarone,20,0-300,ModMed,Modernizing Medicine,,5,006Vo000008AoVCIA0,0017V00001XTmB9QAL
Med-Cure Internal Medicine PLC,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000ByYDOIA3/view,Med-Cure Internal Medicine Plc,IQM Set,Early / Mid Pipeline,,2024-11-29,2024-10-24,,Austin Oldroyd,10,0-300,eClinicalWorks,eClinicalWorks,6.0,2,006Vo00000ByYDOIA3,0015e00000d7hnhAAA
Medvanta + CAO Call Center Agent Convertible Pilot (Ortho Forum),https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qnfydIAA/view,The Centers for Advanced Orthopaedics,3. Scoping,Early / Mid Pipeline,,2026-04-30,2025-10-07,2026-03-06,Adam Graves,161,0-300,Phoenix Ortho;,Other,,6,006Vo00000qnfydIAA,0017V00001WfzqqQAB
Memorial Health - Call Center + Referral/Intake,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006RS4oIAG/view,Memorial Healthcare System (MHS),2. Needs Analysis,Early / Mid Pipeline,100000.0,2027-02-28,2024-06-21,2025-11-13,Daniel Carter,,Unknown,Epic,Epic,,44,006Vo000006RS4oIAG,001Vo000008wtirIAA
Miami Diabetes & Endocrine,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000hoodaIAA/view,Miami Diabetes & Endocrinology,FHA,Early / Mid Pipeline,95963.55,2025-10-31,2025-08-12,2025-09-25,Heather Dombrosky,,Unknown,Athena,Athena,,1,006Vo00000hoodaIAA,0015e00000JrYtdAAF
Montefiore Call Center,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001N9FRwIAN/view,Montefiore Health System,2. Needs Analysis,Early / Mid Pipeline,,2026-07-31,2026-03-30,,Jean-Luc Neptune,10000,"5,000+",,Unknown,,5,006Vo00001N9FRwIAN,0015e00000CA1WpAAL
New York Bone  Joint Specialists,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001JjIdHIAV/view,New York Bone  Joint Specialists,Active Evaluation,Early / Mid Pipeline,72000.0,2026-04-30,2026-03-11,2026-03-24,Marisa Wetzel,11,0-300,ModMed,Modernizing Medicine,22.0,4,006Vo00001JjIdHIAV,0017V000024NJhpQAG
OSS Health - Cosell,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000qyqxRIAQ/view,OSS Health Physicians,Active Evaluation,Early / Mid Pipeline,28200.0,2026-04-30,2025-10-08,2026-03-31,Jordan Tunnell,844,"301-1,000",Medent,Other,150.0,2,006Vo00000qyqxRIAQ,0017V00001Wfzp6QAB
Optimus - PX Agent Pilot Conversion,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000tKXwDIAW/view,Optimus Health Care Inc,3. Scoping,Early / Mid Pipeline,,2026-09-30,2025-10-18,2026-03-05,Micah Ciancia,,Unknown,Epic Systems Corporation;,Epic,,7,006Vo00000tKXwDIAW,0017V00001XmyU7QAJ
Orthopedic Center of Colorado - RCM/Scribe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000u3h8HIAQ/view,Orthopedic Centers of Colorado,Active Evaluation,Early / Mid Pipeline,1650000.0,2026-06-26,2025-10-21,2026-01-16,Alex Fogt,,Unknown,Veradigm,Other,,2,006Vo00000u3h8HIAQ,0017V00001gAJHFQA4
Ovation- Ambient Partnership,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000014U9UaIAK/view,Ovation Healthcare (FKA Quorum Purchasing Advantage),1. Qualifying,Early / Mid Pipeline,,2026-12-31,2025-12-13,2026-01-15,Kelum Fecht,,Unknown,Epic;MEDITECH,MEDITECH,,1,006Vo000014U9UaIAK,001Vo00001KfAzdIAF
PatientFocus - Partnership,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00001EqLsdIAF/view,PatientFocus,Active Evaluation,Early / Mid Pipeline,,2026-04-30,2026-02-11,2026-03-24,Daniel Oukolov,,Unknown,NA,Unknown,,1,006Vo00001EqLsdIAF,001Vo000008x1yxIAA
PerfectServe,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo000006GixkIAC/view,PerfectServe,1. Qualifying,Early / Mid Pipeline,,2026-12-31,2023-07-21,,Alec Epstein,,Unknown,,Unknown,,1,006Vo000006GixkIAC,001Vo000008x1GIIAY
RCM - Radiology Partners,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000Ps5MKIAZ/view,Radiology Partners,Active Evaluation,Early / Mid Pipeline,72000.0,2025-10-31,2025-04-15,2026-02-18,Anang Chokshi,1500,"1,001-5,000",-,Unknown,,2,006Vo00000Ps5MKIAZ,0017V00001ejql6QAA
RCM - Westview Family Medicine,https://athelas.lightning.force.com/lightning/r/Opportunity/006Vo00000yxRfxIAE/view,Westview Family Medicine PC,IQM Set,Early / Mid Pipeline,82500.0,2026-05-31,2025-11-12,,Steven Alexander,26,0-300,eClinicalWorks,eClinicalWorks,,1,006Vo00000yxRfxIAE,0015e00000d7Ep0AAE
